Remision;ACI;HUM;IMP;TMP;HUMIMP
1;1,59;0,16;0,035;34;0,195
2;1,54;0,16;0,035;36;0,195
3;1,59;0,16;0,035;40;0,195
4;1,48;0,18;0,035;36;0,215
5;1,54;0,16;0,035;42;0,195
6;1,48;0,16;0,035;36;0,195
7;1,48;0,14;0,035;40;0,175
8;1,54;0,18;0,035;35;0,215
9;1,54;0,16;0,03;36;0,19
10;1,59;0,16;0,035;42;0,195
11;1,48;0,16;0,03;38;0,19
12;1,54;0,14;0,03;42;0,17
13;1,48;0,16;0,04;44;0,2
14;1,43;0,2;0,04;42;0,24
15;1,54;0,2;0,005;43;0,205
16;1,54;0,16;0,035;45;0,195
17;1,54;0,18;0,035;43;0,215
18;1,59;0,2;0,04;48;0,24
19;1,54;0,18;0,04;44;0,22
20;1,54;0,16;0,035;45;0,195
21;1,28;0,28;0,04;44;0,32
22;1,33;0,18;0,04;47;0,22
23;1,33;0,14;0,03;40;0,17
24;1,28;0,2;0,04;38;0,24
25;1,33;0,2;0,04;45;0,24
26;1,23;0,18;0,035;45;0,215
27;1,02;0,18;0,04;46;0,22
28;0,92;0,18;0,04;45;0,22
29;1,28;0,22;0,035;35;0,255
30;1,23;0,14;0,035;44;0,175
31;1,23;0,16;0,035;47;0,195
32;1,28;0,16;0,035;42;0,195
33;1,33;0,16;0,035;36;0,195
34;1,28;0,18;0,035;42;0,215
35;1,33;0,18;0,035;40;0,215
36;1,28;0,18;0,03;42;0,21
37;1,28;0,18;0,035;46;0,215
38;1,23;0,18;0,04;38;0,22
39;1,33;0,18;0,035;40;0,215
40;1,28;0,22;0,04;42;0,26
41;1,33;0,18;0,035;40;0,215
42;1,28;0,16;0,035;44;0,195
43;1,28;0,18;0,035;42;0,215
44;1,38;0,2;0,035;40;0,235
45;1,38;0,16;0,035;42;0,195
46;1,28;0,18;0,03;32;0,21
47;1,38;0,2;0,03;42;0,23
48;1,38;0,2;0,03;32;0,23
49;1,43;0,18;0,03;34;0,21
50;1,48;0,22;0,04;35;0,26
51;1,59;0,18;0,03;35;0,21
52;1,54;0,22;0,03;32;0,25
53;1,64;0,24;0,04;30;0,28
54;1,64;0,24;0,04;30;0,28
55;1,54;0,2;0,035;34;0,235
56;1,54;0,18;0,035;38;0,215
57;1,54;0,18;0,035;38;0,215
58;1,54;0,18;0,04;33;0,22
59;1,64;0,2;0,04;42;0,24
61;1,64;0,18;0,04;34;0,22
62;1,54;0,2;0,035;35;0,235
63;1,48;0,18;0,035;30;0,215
65;1,48;0,02;4;26;4,02
67;1,64;0,22;0,04;32;0,26
68;2,2;0,42;0,04;24;0,46
69;2,2;0,2;0,04;39;0,24
70;2,3;0,2;0,04;47;0,24
71;2,2;0,2;0,035;44;0,235
72;2,05;0,02;0,035;47;0,055
73;1,94;0,18;0,03;42;0,21
74;1,94;0,16;0,03;44;0,19
75;1,89;0,18;0,03;44;0,21
76;2,05;0,16;0,03;41;0,19
77;2,05;0,16;0,03;44;0,19
78;2;0,2;0,035;45;0,235
79;1,79;0,2;0,04;40;0,24
80;1,79;0,2;0,04;38;0,24
81;2;0,24;0,04;40;0,28
82;2;0,18;0,04;45;0,22
83;2;0,2;0,04;43;0,24
84;1,94;0,2;0,04;46;0,24
85;2,05;0,18;0,04;45;0,22
